,MSE_qm_test,MAE_qm_test,lh_qm_test,MSE_cl_test,MAE_cl_test,lh_cl_test
53,0.06503587862149293,0.22069986561994223,1.2943852046011504,0.07040047406182945,0.22940722305715022,1.3012143513234387
54,0.07002070740017148,0.2283925065121026,1.8097540410717907,0.07640258236839491,0.23725002111280555,1.8676362694386097
55,0.040951681923085737,0.17532795330839715,1.1820175300522204,0.04183387853379366,0.17579789271049998,1.1751997535831444
56,0.07304211216661036,0.23055373962349335,1.8172536803861408,0.0759446243462702,0.23389350678541415,1.8689852692564786
57,0.0672491398970523,0.22463207448056086,1.4047222033742166,0.07183995071225112,0.23157489769937778,1.435005323910656
58,0.0699280515728552,0.23056255078745566,1.6457885555805731,0.07500985355690226,0.23779027373246625,1.707229193861974
59,0.06448402365908056,0.2203633667302525,1.2835035719085248,0.07397476505579732,0.2352690166497549,1.3854428606117941
60,0.06770796172174777,0.22565352518679607,1.2989597829531663,0.07319544816368825,0.23376746799379655,1.3532203653691868
61,0.07489813577137981,0.23637865532822397,1.9408515014596777,0.08199123594685673,0.24805596243357372,2.11326822833347
62,0.06792119798686512,0.22633011380598694,1.3506247236456366,0.07322075029348227,0.23354932532977873,1.4278567079503808
63,0.0616485150927625,0.2147386438469366,1.2889454897999943,0.06701755540070024,0.2240882998537981,1.3628933383967323
64,0.07931737166718067,0.24297463512316128,1.641688682506373,0.08423084622071421,0.2506403236252473,1.7033705603413312
65,0.057792971183335456,0.20621437927728123,1.1268106691416477,0.062367851568791884,0.21277681342542118,1.151186676447776
66,0.07074729523759758,0.22645169103345306,1.8596572798955737,0.07390719826802127,0.2298663459371146,1.892773119392302
67,0.07394645402878258,0.2286263686384126,1.82716492715204,0.07796707727164798,0.2333794489690243,1.8935762830597431
68,0.07381539036850768,0.23424415902177884,1.5658092842360265,0.07878353244297945,0.24144422202619634,1.6136199231537551
69,0.060073931470275926,0.21184455534038074,1.2092754180122527,0.06610801869536477,0.22220697475781756,1.2598477463541689
70,0.07149782748354003,0.23077277575528682,1.4253702445827763,0.0778685127321213,0.24068477147153497,1.4925604029461796
71,0.08446809307297282,0.2586678380876827,1.5444890065051975,0.0924734925507872,0.26963685210917093,1.563535368433954
72,0.10165392970035066,0.28230659573202815,2.347138583110242,0.10887482804223098,0.2940247840165976,2.4926684933898953
73,0.04867801483746525,0.1912094136662027,1.501764461880368,0.048868014855950256,0.1915514899265823,1.503894215842075
74,0.07350150180051739,0.2357872220287764,1.988163524457635,0.07801008882597868,0.241588491968367,2.050935446845736
75,0.06555594082842124,0.22119705084372404,1.257884482660463,0.06964519075101651,0.2263009223923774,1.3120944400204415
76,0.07222329910290053,0.23341182925588896,1.647185843605727,0.07568447044579882,0.23760826646657374,1.6986366157341508
77,0.07302702884988004,0.22868628347298,1.3558458944542178,0.07543962500705498,0.23267738352039913,1.3787538918568847
78,0.0722439550944362,0.22780564076750678,2.2043069590051347,0.0752203671701702,0.23144227612604765,2.2354044750478943
79,0.06703065433053215,0.21906145276143482,1.7394861164982212,0.07312460338808419,0.2280540057952863,1.8355871083635993
80,0.059812555395505174,0.208193308586323,1.414413394838724,0.06364154077539515,0.2138699972773118,1.46838590910516
81,0.06839305469791417,0.22573515590206208,1.5809207709279622,0.0730918463265261,0.23348561624895506,1.6737342407571945
82,0.06588869624791523,0.21759915676234529,1.5133739211891546,0.07442284260451547,0.2281275083178708,1.60662728833377
83,0.05942949094176439,0.2044035014278704,1.380550158620873,0.06335196470882193,0.20797950801730494,1.399468190451042
84,0.07858401014897794,0.24113539292049108,2.062050194310419,0.08423490282939819,0.24952054591622366,2.1725456524465367
85,0.06888001804348053,0.22552055370154203,1.4442769864986689,0.07407811488844897,0.23469567063698207,1.5591922032427972
